"Table Name","Table Is_Physical_Only","Column Name","Column Is_Physical_Only"
CommonColumnsForTriggerTemplate,,RowLevelHashKey,
CommonColumnsForTriggerTemplate,,Note,
CommonColumnsForTriggerTemplate,,IsDeleted,
CommonColumnsForTriggerTemplate,,Transaction Number,
CommonColumnsForTriggerTemplate,,UserAuthenticatedKey,
CommonColumnsForTriggerTemplate,,SysStartTime,
CommonColumnsForTriggerTemplate,,SysEndTime,
Country,,CountryId,
Country,,CountryISO3,
Country,,CountryName,
Country,,CountryISO2,
Country,,RegionId,
Country,,UserAuthorizationId,
Country,,SysStartTime,
Country,,SysEndTime,
Country,,RowLevelHashKey,
Customer,false,CustomerId,false
Customer,false,CustomerName,false
Customer,false,CustomerAddress1,false
Customer,false,CustomerAddress2,false
Customer,false,CustomerTown,false
Customer,false,CustomerPostalCode,false
Customer,false,IsCustomerReseller,false
Customer,false,IsCustomerCreditRisk,false
Customer,false,CustomerSpendCapacity,false
Customer,false,CountryId,false
Customer,false,UserAuthorizationId,
Customer,false,SysStartTime,
Customer,false,SysEndTime,
Customer,false,RowLevelHashKey,
Model,,ModelId,
Model,,ModelName,
Model,,ModelVariant,
Model,,BodyName,
Model,,MakeId,
Model,,CategoryId,
Model,,UserAuthorizationId,
Model,,SysStartTime,
Model,,SysEndTime,
Model,,RowLevelHashKey,
Make,,VehicleMakeId,
Make,,VehicleMakeName,
Make,,UserAuthorizationId,
Make,,SysStartTime,
Make,,SysEndTime,
Make,,RowLevelHashKey,
VehicleStock,,StockId,
VehicleStock,,StockCode,
VehicleStock,,Cost,
VehicleStock,,RepairsCharge,
VehicleStock,,PartsCharge,
VehicleStock,,DeliveryCharge,
VehicleStock,,PurchaseDate,
VehicleStock,,VehicleId,false
VehicleStock,,ModelId,false
VehicleStock,,MakeId,false
VehicleStock,,TrimId,false
VehicleStock,,CusomerComments,
VehicleStock,,UserAuthorizationId,
VehicleStock,,SysStartTime,
VehicleStock,,SysEndTime,
VehicleStock,,RowLevelHashKey,
Category,,CategoryName,
Category,,CategoryId,
Category,,UpperThreshold,
Category,,LowerThreshold,
Category,,UserAuthorizationId,
Category,,SysStartTime,
Category,,SysEndTime,
Category,,RowLevelHashKey,
Order,false,OrderId,false
Order,false,InvoiceNumber,false
Order,false,TotalPrice,false
Order,false,Date,false
Order,false,CustomerId,false
Order,false,StaffId,false
Order,false,UserAuthorizationId,
Order,false,SysStartTime,
Order,false,SysEndTime,
Order,false,RowLevelHashKey,
Staff,,StaffId,
Staff,,StaffName,
Staff,,Department,
Staff,,ManagerId,
Staff,,UserAuthorizationId,
Staff,,SysStartTime,
Staff,,SysEndTime,
Staff,,RowLevelHashKey,
sysdiagrams,,Name,
sysdiagrams,,Principal Id,
sysdiagrams,,diagramid,
sysdiagrams,,Version,
sysdiagrams,,Definition,
Vehicle,false,VinNumber,false
Vehicle,false,VehicleId,false
Vehicle,false,VehicleYear,false
Vehicle,false,ManufacturerCountryId,false
Vehicle,false,EngineId,false
Vehicle,false,VehicleMakeId,false
Vehicle,false,DriveTrainId,false
Vehicle,false,FuelTypeId,false
Vehicle,false,TransmissionId,false
Vehicle,false,ColorId,false
Vehicle,false,TrimId,false
Vehicle,false,ModelId,false
Vehicle,false,MakeId,false
Vehicle,false,MSRP,false
Vehicle,false,UserAuthorizationId,
Vehicle,false,SysStartTime,
Vehicle,false,SysEndTime,
Vehicle,false,RowLevelHashKey,
Region,,RegionId,
Region,,RegionName,
Region,,UserAuthorizationId,
Region,,SysStartTime,
Region,,SysEndTime,
Region,,RowLevelHashKey,
Feature,,FeatureId,
Feature,,FeatureName,
Feature,,UserAuthorizationId,
Feature,,SysStartTime,
Feature,,SysEndTime,
Feature,,RowLevelHashKey,
FeatureVehicle,,Feature Id,
FeatureVehicle,,VehicleId,false
FeatureVehicle,,Feature Vehicle Id,
FeatureVehicle,,TrimId,false
FeatureVehicle,,ModelId,false
FeatureVehicle,,MakeId,false
FeatureVehicle,,UserAuthorizationId,
FeatureVehicle,,SysStartTime,
FeatureVehicle,,SysEndTime,
FeatureVehicle,,RowLevelHashKey,
Engine,,EngineId,
Engine,,EngineDisplacement,
Engine,,EngineCylinderCount,
Engine,,EngineMaxHorsepower,
Engine,,EngineMaxTorque,
Engine,,VehicleMakeId,
Engine,,UserAuthorizationId,
Engine,,SysStartTime,
Engine,,SysEndTime,
Engine,,RowLevelHashKey,
DriveTrain,,DriveTrainId,
DriveTrain,,DriveTrainCode,
DriveTrain,,DriveTrainDescription,
DriveTrain,,UserAuthorizationId,
DriveTrain,,SysStartTime,
DriveTrain,,SysEndTime,
DriveTrain,,RowLevelHashKey,
FuelType,,FuelTypeId,
FuelType,,FuelType,
FuelType,,UserAuthorizationId,
FuelType,,SysStartTime,
FuelType,,SysEndTime,
FuelType,,RowLevelHashKey,
Color,,ColorId,
Color,,ColorName,
Color,,UserAuthorizationId,
Color,,SysStartTime,
Color,,SysEndTime,
Color,,RowLevelHashKey,
Transmission,,TransmissionId,
Transmission,,TransmissionName,
Transmission,,Transmission GearCount,
Transmission,,TransmissionTypeId,
Transmission,,VehicleMakeId,
Transmission,,UserAuthorizationId,
Transmission,,SysStartTime,
Transmission,,SysEndTime,
Transmission,,RowLevelHashKey,
TransmissionType,,TransmissionTypeId,
TransmissionType,,TransmissionType,
TransmissionType,,UserAuthorizationId,
TransmissionType,,SysStartTime,
TransmissionType,,SysEndTime,
TransmissionType,,RowLevelHashKey,
Trim,,TrimId,
Trim,,TrimName,
Trim,,TrimLevel,
Trim,,ModelId,
Trim,,MakeId,
Trim,,UserAuthorizationId,
Trim,,SysStartTime,
Trim,,SysEndTime,
Trim,,RowLevelHashKey,
OrderVehicle,false,OrderId,false
OrderVehicle,false,VehicleId,false
OrderVehicle,false,ModelId,false
OrderVehicle,false,MakeId,false
OrderVehicle,false,TrimId,false
OrderVehicle,false,CustomerId,false
OrderVehicle,false,OrderVehicleId,false
OrderVehicle,false,LineItemNumber,false
OrderVehicle,false,Price,false
OrderVehicle,false,Discount,false
OrderVehicle,false,DerivedDiscountedPrice,false
OrderVehicle,false,StaffId,false
OrderVehicle,false,UserAuthorizationId,
OrderVehicle,false,SysStartTime,
OrderVehicle,false,SysEndTime,
OrderVehicle,false,RowLevelHashKey,
UserAuthorization,,UserAuthorizationId,
UserAuthorization,,ClassTime,
UserAuthorization,,IndividualProject,
UserAuthorization,,GroupMemberLastName,
UserAuthorization,,GroupMemberFirstName,
UserAuthorization,,GroupName,
UserAuthorization,,SysStartTime,
UserAuthorization,,SysEndTime,
AuditCustomerHistory,,AuditCustomerHistory,
AuditCustomerHistory,,CustomerId,
AuditCustomerHistory,,CustomerName,
AuditCustomerHistory,,CustomerAddress1,
AuditCustomerHistory,,CustomerAddress2,
AuditCustomerHistory,,CustomerTown,
AuditCustomerHistory,,CustomerPostalCode,
AuditCustomerHistory,,IsCustomerReseller,
AuditCustomerHistory,,IsCustomerCreditRisk,
AuditCustomerHistory,,SpendCapacity,
AuditCustomerHistory,,RowLevelHashKey,
AuditCustomerHistory,,Note,
AuditCustomerHistory,,IsDeleted,
AuditCustomerHistory,,TransactionNumber,
AuditCustomerHistory,,UserAuthorizationId,
AuditCustomerHistory,,SysStartTime,
AuditCustomerHistory,,SysEndTime,
AuditMakeHistory,,AuditMakeHistoryId,
AuditMakeHistory,,MakeId,
AuditMakeHistory,,MakeName,
AuditMakeHistory,,RowLevelHashKey,
AuditMakeHistory,,Note,
AuditMakeHistory,,IsDeleted,
AuditMakeHistory,,TransactionNumber,
AuditMakeHistory,,UserAuthorizationId,
AuditMakeHistory,,SysStartTime,
AuditMakeHistory,,SysEndTime,
AuditModelHistory,,AuditModelHistoryId,
AuditModelHistory,,ModelId,
AuditModelHistory,,ModelName,
AuditModelHistory,,ModelVariant,
AuditModelHistory,,BodyName,
AuditModelHistory,,RowLevelHashKey,
AuditModelHistory,,Note,
AuditModelHistory,,IsDeleted,
AuditModelHistory,,TransactionNumber,
AuditModelHistory,,UserAuthorizationKey,
AuditModelHistory,,SysStartTime,
AuditModelHistory,,SysEndtime,
AuditOrderHistory,,AuditOrderHistoryId,
AuditOrderHistory,,OrderId,
AuditOrderHistory,,InvoiceNumber,
AuditOrderHistory,,TotalPrice,
AuditOrderHistory,,Date,
AuditOrderHistory,,RowLevelHashKey,
AuditOrderHistory,,Note,
AuditOrderHistory,,IsDeleted,
AuditOrderHistory,,TransactionNumber,
AuditOrderHistory,,UserAuthorizationId,
AuditOrderHistory,,SysStartTime,
AuditOrderHistory,,SysEndTime,
AuditOrderVehicleHistory,,AuditOrderVehicleHistory,
AuditOrderVehicleHistory,,OrderVehicleId,
AuditOrderVehicleHistory,,LineItemNumber,
AuditOrderVehicleHistory,,Price,
AuditOrderVehicleHistory,,Discount,
AuditOrderVehicleHistory,,DerivedDiscountedPrice,
AuditOrderVehicleHistory,,UserAuthorizationId,
AuditOrderVehicleHistory,,SysStartTime,
AuditOrderVehicleHistory,,SysEndTime,
AuditOrderVehicleHistory,,Note,
AuditOrderVehicleHistory,,IsDeleted,
AuditOrderVehicleHistory,,TransactionNumber,
AuditOrderVehicleHistory,,RowLevelHashKey,
AuditStaffHistory,,AuditStaffHistory,
AuditStaffHistory,,StaffId,
AuditStaffHistory,,StaffName,
AuditStaffHistory,,Department,
AuditStaffHistory,,RowLevelHashKey,
AuditStaffHistory,,Note,
AuditStaffHistory,,IsDeleted,
AuditStaffHistory,,TransactionNumber,
AuditStaffHistory,,UserAuthorizationId,
AuditStaffHistory,,SysStartTime,
AuditStaffHistory,,SysEndTime,
AuditVehicleHistory,,AuditVehicleHistoryId,
AuditVehicleHistory,,VehicleId,
AuditVehicleHistory,,VinNumber,
AuditVehicleHistory,,VehicleYear,
AuditVehicleHistory,,MSRP,
AuditVehicleHistory,,UserAuthorizationId,
AuditVehicleHistory,,SysStartTime,
AuditVehicleHistory,,SysEndTime,
AuditVehicleHistory,,Note,
AuditVehicleHistory,,isDeleted,
AuditVehicleHistory,,TransactionNumber,
AuditVehicleHistory,,RowLevelHashKey,
AuditVehicleStockHistory,,AuditVehicleStockHistoryId,
AuditVehicleStockHistory,,StockId,
AuditVehicleStockHistory,,StockCode,
AuditVehicleStockHistory,,RepairsCharge,
AuditVehicleStockHistory,,PartsCharge,
AuditVehicleStockHistory,,DeliveryCharge,
AuditVehicleStockHistory,,PurchasedDate,
AuditVehicleStockHistory,,UserAuthorizationId,
AuditVehicleStockHistory,,SysStartTime,
AuditVehicleStockHistory,,SysEndTime,
